,Sxfm,Dxfm,Dataset1,Dataset2,Average
111,raw,raw,HNU1,BNU3,0.3450931053281852
112,raw,raw,HNU1,HNU1,0.3392564373714287
113,raw,raw,HNU1,IACAS_1,0.33049652884277075
114,raw,raw,HNU1,IBATRT,0.3560556246153061
115,raw,raw,HNU1,IPCAS_1,0.3351714030129154
116,raw,raw,HNU1,IPCAS_2,0.3336732910259538
117,raw,raw,HNU1,IPCAS_3,0.33990943593132483
118,raw,raw,HNU1,IPCAS_4,0.34228115506362544
119,raw,raw,HNU1,IPCAS_5,0.3432323170960188
120,raw,raw,HNU1,IPCAS_6,0.32828211954892733
121,raw,raw,HNU1,IPCAS_7,0.3295709179916513
122,raw,raw,HNU1,IPCAS_8,0.3487934502291224
123,raw,raw,HNU1,JHNU,0.33820084996598654
124,raw,raw,HNU1,MRN_1,0.3387522587849779
125,raw,raw,HNU1,NYU_1,0.3443958336805443
126,raw,raw,HNU1,NYU_2,0.34866389415274035
127,raw,raw,HNU1,SWU1,0.3466197987949928
128,raw,raw,HNU1,SWU2,0.33718935208578366
129,raw,raw,HNU1,SWU3,0.3380090308127873
130,raw,raw,HNU1,SWU4,0.33963489142464715
131,raw,raw,HNU1,UPSM_1,0.3508522694362724
132,raw,raw,HNU1,UWM,0.3453640005529251
133,raw,raw,HNU1,Utah1,0.34559230745628733
134,raw,raw,HNU1,XHCUMS,0.35098138692728875
135,raw,raw,IACAS_1,BMB_1,0.3332998476291544
136,raw,raw,IACAS_1,BNU1,0.33958031454430215
137,raw,raw,IACAS_1,BNU2,0.3295505178860446
138,raw,raw,IACAS_1,BNU3,0.3366519803117628
139,raw,raw,IACAS_1,HNU1,0.33049652884277075
140,raw,raw,IACAS_1,IACAS_1,0.2827152095955473
141,raw,raw,IACAS_1,IBATRT,0.3625461623383807
142,raw,raw,IACAS_1,IPCAS_1,0.31084832049510935
143,raw,raw,IACAS_1,IPCAS_2,0.297269726942094
144,raw,raw,IACAS_1,IPCAS_3,0.31773061728095764
145,raw,raw,IACAS_1,IPCAS_4,0.31734734776799145
146,raw,raw,IACAS_1,IPCAS_5,0.3255820939956147
147,raw,raw,IACAS_1,IPCAS_6,0.28829263407178035
148,raw,raw,IACAS_1,IPCAS_7,0.3014544063212978
149,raw,raw,IACAS_1,IPCAS_8,0.33924777890148655
150,raw,raw,IACAS_1,JHNU,0.3089105330789708
151,raw,raw,IACAS_1,MRN_1,0.3161418302440416
152,raw,raw,IACAS_1,NYU_1,0.3301603303579277
153,raw,raw,IACAS_1,NYU_2,0.34720036575955454
154,raw,raw,IACAS_1,SWU1,0.33911552305418724
155,raw,raw,IACAS_1,SWU2,0.3040131738962742
156,raw,raw,IACAS_1,SWU3,0.3041933661143664
157,raw,raw,IACAS_1,SWU4,0.33338841878565095
158,raw,raw,IACAS_1,UPSM_1,0.3499091512896525
159,raw,raw,IACAS_1,UWM,0.3329531194128727
160,raw,raw,IACAS_1,Utah1,0.333793221419295
161,raw,raw,IACAS_1,XHCUMS,0.3501579324603177
162,raw,raw,IBATRT,BMB_1,0.3791975247365491
163,raw,raw,IBATRT,BNU1,0.3872253046047157
164,raw,raw,IBATRT,BNU2,0.37664321881295637
165,raw,raw,IBATRT,BNU3,0.37741691061057214
166,raw,raw,IBATRT,HNU1,0.3560556246153061
167,raw,raw,IBATRT,IACAS_1,0.3625461623383807
168,raw,raw,IBATRT,IBATRT,0.40645318634693894
169,raw,raw,IBATRT,IPCAS_1,0.3627539638813657
170,raw,raw,IBATRT,IPCAS_2,0.36702475310009713
171,raw,raw,IBATRT,IPCAS_3,0.3783941247489109
172,raw,raw,IBATRT,IPCAS_4,0.39459985817784277
173,raw,raw,IBATRT,IPCAS_5,0.3885025028940252
174,raw,raw,IBATRT,IPCAS_6,0.35209691603866794
175,raw,raw,IBATRT,IPCAS_7,0.3494982972482995
176,raw,raw,IBATRT,IPCAS_8,0.41726231903142225
177,raw,raw,IBATRT,JHNU,0.3788793338188777
178,raw,raw,IBATRT,MRN_1,0.3739588501693445
179,raw,raw,IBATRT,NYU_1,0.38866757173411065
180,raw,raw,IBATRT,NYU_2,0.36311963575578804
181,raw,raw,IBATRT,SWU1,0.3840277767961981
182,raw,raw,IBATRT,SWU2,0.37813907832228993
183,raw,raw,IBATRT,SWU3,0.3823254252362315
184,raw,raw,IBATRT,SWU4,0.3525049022356216
185,raw,raw,IBATRT,UPSM_1,0.3782426976499691
186,raw,raw,IBATRT,UWM,0.3907422150320702
187,raw,raw,IBATRT,Utah1,0.39071574765133155
188,raw,raw,IBATRT,XHCUMS,0.37820260256909954
189,raw,raw,IPCAS_1,BMB_1,0.3408639591592533
190,raw,raw,IPCAS_1,BNU1,0.34594147158998123
191,raw,raw,IPCAS_1,BNU2,0.3381333306140043
192,raw,raw,IPCAS_1,BNU3,0.3427458805821864
193,raw,raw,IPCAS_1,HNU1,0.3351714030129154
194,raw,raw,IPCAS_1,IACAS_1,0.31084832049510935
195,raw,raw,IPCAS_1,IBATRT,0.3627539638813657
196,raw,raw,IPCAS_1,IPCAS_1,0.32442131259577517
197,raw,raw,IPCAS_1,IPCAS_2,0.3186751072639605
198,raw,raw,IPCAS_1,IPCAS_3,0.33173367295068035
199,raw,raw,IPCAS_1,IPCAS_4,0.3349525399098859
200,raw,raw,IPCAS_1,IPCAS_5,0.33794514712018137
201,raw,raw,IPCAS_1,IPCAS_6,0.30998590710084045
202,raw,raw,IPCAS_1,IPCAS_7,0.31582008795596966
203,raw,raw,IPCAS_1,IPCAS_8,0.349384022851312
204,raw,raw,IPCAS_1,JHNU,0.3273528989209477
205,raw,raw,IPCAS_1,MRN_1,0.3299157169953526
206,raw,raw,IPCAS_1,NYU_1,0.3405054817708669
207,raw,raw,IPCAS_1,NYU_2,0.3487600891230184
208,raw,raw,IPCAS_1,SWU1,0.34523945974073744
209,raw,raw,IPCAS_1,SWU2,0.3248341015646257
210,raw,raw,IPCAS_1,SWU3,0.3259888942857143
211,raw,raw,IPCAS_1,SWU4,0.3366444638037503
212,raw,raw,IPCAS_1,UPSM_1,0.3522058175166115
213,raw,raw,IPCAS_1,UWM,0.34242644778749615
214,raw,raw,IPCAS_1,Utah1,0.34290784468853514
215,raw,raw,IPCAS_1,XHCUMS,0.35239244281479754
216,raw,raw,IPCAS_2,BMB_1,0.339324344114199
217,raw,raw,IPCAS_2,BNU1,0.34562031034482765
218,raw,raw,IPCAS_2,BNU2,0.33590184383146804
219,raw,raw,IPCAS_2,BNU3,0.3417889030207932
220,raw,raw,IPCAS_2,HNU1,0.3336732910259538
221,raw,raw,IPCAS_2,IACAS_1,0.297269726942094
222,raw,raw,IPCAS_2,IBATRT,0.36702475310009713
223,raw,raw,IPCAS_2,IPCAS_1,0.3186751072639605
224,raw,raw,IPCAS_2,IPCAS_2,0.30904176303121256
225,raw,raw,IPCAS_2,IPCAS_3,0.3268744894296898
226,raw,raw,IPCAS_2,IPCAS_4,0.3297546425585791
227,raw,raw,IPCAS_2,IPCAS_5,0.33478310993908017
228,raw,raw,IPCAS_2,IPCAS_6,0.29916414746060455
229,raw,raw,IPCAS_2,IPCAS_7,0.30888996437990573
230,raw,raw,IPCAS_2,IPCAS_8,0.35047418563178473
231,raw,raw,IPCAS_2,JHNU,0.3202360520503827
232,raw,raw,IPCAS_2,MRN_1,0.32483195566195705
233,raw,raw,IPCAS_2,NYU_1,0.3383660580762095
234,raw,raw,IPCAS_2,NYU_2,0.34889112704462244
235,raw,raw,IPCAS_2,SWU1,0.34476793780639536
236,raw,raw,IPCAS_2,SWU2,0.3164175353529609
237,raw,raw,IPCAS_2,SWU3,0.31744766084138926
238,raw,raw,IPCAS_2,SWU4,0.33566957587063867
239,raw,raw,IPCAS_2,UPSM_1,0.35298527340912195
240,raw,raw,IPCAS_2,UWM,0.34090495721706876
241,raw,raw,IPCAS_2,Utah1,0.3415600592118227
242,raw,raw,IPCAS_2,XHCUMS,0.3531926508536173
243,raw,raw,IPCAS_3,BMB_1,0.35094430493918793
244,raw,raw,IPCAS_3,BNU1,0.3577822265461402
245,raw,raw,IPCAS_3,BNU2,0.3478149930466472
246,raw,raw,IPCAS_3,BNU3,0.3520416356977388
247,raw,raw,IPCAS_3,HNU1,0.33990943593132483
248,raw,raw,IPCAS_3,IACAS_1,0.31773061728095764
249,raw,raw,IPCAS_3,IBATRT,0.3783941247489109
250,raw,raw,IPCAS_3,IPCAS_1,0.33173367295068035
251,raw,raw,IPCAS_3,IPCAS_2,0.3268744894296898
252,raw,raw,IPCAS_3,IPCAS_3,0.34242096885400325
253,raw,raw,IPCAS_3,IPCAS_4,0.3500635345831891
254,raw,raw,IPCAS_3,IPCAS_5,0.35107591955782325
255,raw,raw,IPCAS_3,IPCAS_6,0.3152495891861031
256,raw,raw,IPCAS_3,IPCAS_7,0.3208399462179366
257,raw,raw,IPCAS_3,IPCAS_8,0.3715247032103612
258,raw,raw,IPCAS_3,JHNU,0.33829137932564346
259,raw,raw,IPCAS_3,MRN_1,0.339564944384067
260,raw,raw,IPCAS_3,NYU_1,0.3534662875123382
261,raw,raw,IPCAS_3,NYU_2,0.3527394419033369
262,raw,raw,IPCAS_3,SWU1,0.35617055865119646
263,raw,raw,IPCAS_3,SWU2,0.33558284089053814
264,raw,raw,IPCAS_3,SWU3,0.33776636306780783
265,raw,raw,IPCAS_3,SWU4,0.3402887456844399
266,raw,raw,IPCAS_3,UPSM_1,0.36001171155976686
267,raw,raw,IPCAS_3,UWM,0.3558392455328798
268,raw,raw,IPCAS_3,Utah1,0.35625938238841337
269,raw,raw,IPCAS_3,XHCUMS,0.36014464177308236
270,raw,raw,IPCAS_4,BMB_1,0.3586049894846938
271,raw,raw,IPCAS_4,BNU1,0.3679572303019291
272,raw,raw,IPCAS_4,BNU2,0.3548200289666752
273,raw,raw,IPCAS_4,BNU3,0.358929723176575
274,raw,raw,IPCAS_4,HNU1,0.34228115506362544
275,raw,raw,IPCAS_4,IACAS_1,0.31734734776799145
276,raw,raw,IPCAS_4,IBATRT,0.39459985817784277
277,raw,raw,IPCAS_4,IPCAS_1,0.3349525399098859
278,raw,raw,IPCAS_4,IPCAS_2,0.3297546425585791
279,raw,raw,IPCAS_4,IPCAS_3,0.3500635345831891
280,raw,raw,IPCAS_4,IPCAS_4,0.36496653775510207
281,raw,raw,IPCAS_4,IPCAS_5,0.36268639958413557
282,raw,raw,IPCAS_4,IPCAS_6,0.3142442840219779
283,raw,raw,IPCAS_4,IPCAS_7,0.32129407897278905
284,raw,raw,IPCAS_4,IPCAS_8,0.4019453799010514
285,raw,raw,IPCAS_4,JHNU,0.3457403628653062
286,raw,raw,IPCAS_4,MRN_1,0.3457625524011478
287,raw,raw,IPCAS_4,NYU_1,0.364957981991127
