,Dataset1,Dataset2,Sxfm,Dxfm,Effect.Batch,pvalue.Batch,Effect.Sex,pvalue.Sex,Effect.Age,pvalue.Age
0,UPSM1,BNU1,raw,raw,0.4099426767411338,1.7319315624327833e-31,0.017449122148868602,0.009331730588200943,0.3441602522117835,9.761183164017976e-27
1,UPSM1,BNU1,raw,ptr,-0.04327462376382041,1.0,0.021490815475286057,0.004446182926236738,-0.004664759911262817,1.0
2,UPSM1,BNU1,raw,zscore,-0.03673732695517959,1.0,0.020744255749310832,0.005094442329292991,-0.0006740142174251238,0.377883723992411
3,UPSM1,BNU1,raw,combat,-0.022192459408627328,1.0,0.02237504870319778,0.003785871429072432,0.014721774557819072,0.015504769018615085
4,UPSM1,HNU1,raw,raw,0.542543947366487,1.0300848903816007e-64,0.05379959478805801,5.552040335043841e-08,0.510461826041159,5.226817483425381e-61
5,UPSM1,HNU1,raw,ptr,-0.023164324776868934,1.0,0.06529883833276057,2.4124696144890763e-09,0.021453610444638657,0.0004361909839463864
6,UPSM1,HNU1,raw,zscore,-0.018838930335269736,1.0,0.06613958285894098,1.919264857659807e-09,0.02476226327103367,0.0001711462269848903
7,UPSM1,HNU1,raw,combat,-0.011990007885017613,1.0,0.07128537519200778,4.740599518850875e-10,0.03270104557991995,1.856073339181649e-05
8,UPSM1,IBATRT,raw,raw,0.2134704104133465,6.409222268197422e-15,0.027246365504392387,0.0033085635170750547,0.1835196590993007,4.560779649105606e-13
9,UPSM1,IBATRT,raw,ptr,-0.04890445195076758,1.0,0.02876097670210104,0.0026225359192657807,0.006928189755299743,0.086416450245526
10,UPSM1,IBATRT,raw,zscore,-0.04252824404564473,1.0,0.028132910591138472,0.002887516967540121,0.011093018828458246,0.04273017027599712
11,UPSM1,IBATRT,raw,combat,-0.02197053796512556,1.0,0.02929732207417944,0.0024158581037399796,0.02649050065993804,0.003716591048505713
12,UPSM1,IPCAS1,raw,raw,0.3918652705079788,9.431914654521648e-27,0.03592226705138153,0.0007275719602994507,0.25895796529481874,2.6995651550380974e-18
13,UPSM1,IPCAS1,raw,ptr,-0.049642447709787006,1.0,0.027634017003709026,0.002679392318213306,0.01357397239642078,0.026295961208111746
14,UPSM1,IPCAS1,raw,zscore,-0.04296295825942907,1.0,0.027318675191779086,0.0028169165308202944,0.016788192921521474,0.015413515494139036
15,UPSM1,IPCAS1,raw,combat,-0.025535013515450542,1.0,0.03033569359537008,0.0017476342302172835,0.03277662238793759,0.0011903775367907545
